word_original	en	fr	de	ru	zh	es	ja	ko	et	fi	nl	hi	it	sym_en	sym_fr	sym_de	sym_ru	sym_zh	sym_es	sym_ja	sym_ko	sym_et	sum_fi	sum_nl	sym_hi	sym_it	claude_en	claude_fr	claude_de	claude_ru	claude_zh	claude_es	claude_ja	claude_ko	claude_et	claude_fi	claude_nl	claude_hi	claude_it
line	line	ligne	Linie	линия	线	línea	線	선	joon	viiva	lijn	रेखा	linea	['line', 'television', 'video', 'TV', 'telecasting', 'videotape recording', 'work', 'occupation', 'employment', 'job', 'business', 'line of work', 'day job', 'sentence', 'straight line', 'tune', 'strain', 'melody', 'air', 'melodic line', 'melodic phrase', 'string', 'twine', 'telephone line', 'telephone circuit', 'phone line', 'subscriber line', 'band', 'stripe', 'banding']	['télévision', 'vidéo', 'télé', 'travail', 'emploi', 'entreprise', 'profession', 'métier', 'occupation', 'job', 'day job', 'boulot', 'poste', 'affaire', 'tâche', 'phrase', 'droite', 'ligne droite', 'ligne', 'air', 'ligne mélodique', 'mélodie', 'phrase mélodique', 'ficelle', 'corde', 'fil', 'ligne téléphonique', 'rayure']	['Television', 'Video', 'Fernsehen', 'Videotechnik', 'Arbeit', 'Beruf', 'Geschäft', 'Stelle', 'Beschäftigung', 'Anstellung', 'Job', 'Unternehmen', 'day job', 'Tätigkeit', 'Satz', 'Gerade', 'Melodie', 'Zwirn', 'Kordel', 'Schnur', 'Leitung', 'Streifen']	['видео', 'телевидение', 'видеолента', 'ТВ', 'телеви́дение', 'профессия', 'работа', 'бизнес', 'род занятий', 'до́лжность', 'профе́ссия', 'заня́тие', 'дневная работа', 'рабо́та', 'предложение', 'фра́за', 'предложе́ние', 'прямая', 'мелодия', 'напе́в', 'моти́в', 'мело́дия', 'Шпагат', 'шпагат', 'нить', 'верёвка', 'шнур', 'шпага́т', 'бечёвка', 'ли́ния свя́зи', 'ли́ния', 'проводная телефонная связь', 'телефо́нная ли́ния', 'полоса']	['電視', '片', '視頻', '影片', '电视', '视频', '职业', '職業', '工作', '商業', '職務', '职务', '崗位', '商业', '岗位', '行业', '句子', '语句', '語句', '句', '線', '直线', '线', '曲子', '曲调', '曲調', '旋律', '歌曲', '合股線', '合股线', '细绳', '電話線', '电话线', '电话线路', '橫條紋', '带', '条带', '詩句', '台词']	['video', 'televisión', 'vídeo', 'tele', 'televisor', 'tv', 'television', 'TV', 'ocupación', 'empleo', 'trabajo', 'profesión', 'empresa', 'pega', 'laburo', 'camello', 'day job', 'talacha', 'negocio', 'brete', 'curro', 'chamba', 'frase', 'oración', 'recta', 'línea', 'cuerda', 'ton', 'melodía', 'aire', 'tonada', 'cordel', 'mecate', 'guita', 'hilo', 'bramante', 'cordón', 'línea telefónica', 'circuito telefónico', 'línea de teléfono', 'raya', 'faja', 'tira', 'renglón', 'verso']	['テレビ', 'ビデオ', 'テレビジョン', '電視', '職業', '仕事', '取引', 'ジョブ', '商い', '生業', '業務', '工作', 'バイト', '商売', '文', '文章', 'センテンス', '直線', '旋律', 'メロディー', '曲', '歌曲', 'メロディ', '調べ', '紐', '電話回線', '縞模様', '詩行']	['텔레비전', '티뷔', '비디오', '티비', '텔레비', '전시', '테레비', '티브이', '직업', '알바', '일', '아르바이트', '일자리', '문장', '센텐스', '직선', '곡조', '선율', '멜로디', '악곡', '곡', '끈', '전화선', '줄무늬']	['video', 'televisioon', 'elukutse', 'ärindus', 'amet', 'kutse', 'ettevõte', 'töö', 'äri', 'tegevusala', 'lause', 'sirge', 'meloodia', 'Meloodia', 'nöör', 'Nöör', 'niit', 'Telefoniliin', 'telefoniliin', 'Triibuline', 'Rida']	['televisio', 'video', 'TV', 'televisiointi', 'työ', 'ammatti', 'liiketoiminta', 'elinkeino', 'day job', 'ajanviete', 'ansiotyö', 'ala', 'toimi', 'toimiala', 'kiinnostuksen kohde', 'virke', 'lause', 'suora', 'muoto', 'melodia', 'Melodia', 'sävel', 'sävelmä', 'naru', 'nyöri', 'lanka', 'lankapuhelinliittymä', 'puhelinlinja', 'linja', 'puhelinjohto', 'liittymä', 'raita', 'nauha', 'panta', 'rivi']	['video', 'televisie', 'videotechniek', 'kijkbuis', 'beeldomroep', 'betrekking', 'werk', 'baan', 'zakenwereld', 'beroep', 'nering', 'onderneming', 'zaak', 'job', 'zakenleven', 'arbeid', 'bezigheid', 'zaken', 'day job', 'dienstverband', 'vak', 'positie', 'métier', 'professie', 'post', 'stiel', 'functie', 'frase', 'zin', 'rechte lijn', 'lijn', 'touw', 'melodie', 'zangwijs', 'kant', 'twijn', 'draad', 'koord', 'streng', 'tweern', 'garen', 'paktouw', 'bindtouw', 'bindgaren', 'pees', 'aansluiting', 'verbinding', 'telefoonverbinding', 'gestreept', 'biaislint', 'boordband', 'biaisband', 'boordlint', 'streep', 'regel', 'meridiaan', 'gezichtspunt', 'rechte', 'brief']	['दूरदर्शन', 'टीवी', 'टेलिविजन', 'टेलीविज़न', 'वीडियो', 'कारोबार', 'काम', 'कार', 'नौकरी', 'वाक्य और वाक्य के भेद', 'वाक्य', 'सरल रेखा', 'लय', 'तराना', 'धुन', 'राग', 'तार']	['televisione', 'video', 'tivù', 'tele', 'tivvù', 'TV', 'impresa', 'mestiere', 'occupazione', 'impiego', 'affari', 'lavoro', 'compito', 'day job', 'posto di lavoro', 'attività', 'posto', 'frase', 'periodo', 'linea retta', 'linea', 'retta', 'melodia', 'linea melodica', 'canto', 'aria', 'stringa', 'spago', 'legaccio', 'laccetto', 'fila', 'filo', 'cordicella', 'linea telefonica', 'banda', 'fascia', 'lista', 'riga', 'verso', 'rigo']	['row', 'queue', 'stripe', 'streak']	['trait', 'rangée', 'file']	['Strich', 'Reihe', 'Zeile', 'Kante', 'Gerade']	['черта', 'полоса', 'ряд']	['线条', '直线', '线路', '线段']	['raya', 'trazo', 'renglón', 'fila', 'cola']	['直線', '筋', '境界線', 'ライン']	["줄", "직선", "곡선", "경계선"]	["triip", "kriips", "rida"]	["juova", "raita", "jana"]	["streep", "regel", "reeks"]	["लकीर", "पंक्ति"]	["riga", "retta", "fila", "coda"]
net	net	filet	Netz	сеть	网	red	網	망	võrk	verkko	net	जाल	rete	['net', 'network', 'Internet', 'computer network', 'internet', 'cyberspace', 'mesh', 'meshwork', 'meshing', 'knitting stitch', 'profit', 'lucre', 'profits', 'earnings', 'net income', 'net profit']	['internet', 'réseau informatique', 'réseau', 'Internet', 'cyberespace', 'filet', 'maille de tricot', 'maillage', 'tissus', 'bénéfice', 'gain', 'revenu net', 'profit', 'lucre', 'Profit', 'bénéfice net', 'résultat net', 'revenus']	['Internet', 'Netzwerk', 'Rechnernetz', 'Computernetzwerk', 'Netz', 'Cyberspace', 'Gittergewebe', 'Gitter', 'Nettoeinkommen', 'Netto', 'Jahresüberschuss', 'Verdienst', 'Profit', 'Lohn', 'Nettogewinn', 'Einkommen', 'Reingewinn', 'Gewinn']	['Интернет', 'компьютерная сеть', 'киберпространство', 'сеть', 'интерне́т', 'мерёжа', 'Сетка', 'мре́жа', 'се́тка', 'Чистая прибыль', 'прибыль', 'чистая прибыль', 'дохо́д', 'Бухгалтерская прибыль', 'чи́стый дохо́д', 'за́работок', 'Нетто', 'нетто', 'чи́стая при́быль', 'при́быль', 'profit']	['计算机网络', '電腦網路', '互联网', '互聯網', '信息空间', '因特網', '网际网路', '网路', '網絡', '網際網路', '因特网', '网络', '網路', '赛博空间', '虚拟空间', '网络空间', '網', '筛', '网孔', '网', '網孔', '净利', '纯利', '纯利润', '利润', '利益', '净收入', '純利', '收益', '淨利', '收入', '盈餘', '所得']	['red de computadoras', 'red de ordenadores', 'red informática', 'Internet', 'red', 'internet', 'ciberespacio', 'malla', 'rejilla', 'ganancia', 'beneficio', 'ingreso neto', 'lucro', 'ingresos netos', 'ganancia neta', 'beneficio neto', 'beneficios', 'ganancias']	['コンピュータ・ネットワーク', 'インターネット', 'ネット', 'サイバースペース', '編', '網', 'メッシュ', '純利益', '利益', '収入', '純利', '所得', '稼ぎ', 'グロス']	['인터넷', '인터네트', '누리망', '넷', '가상 공간', '그물', '망', '순이익', '이익']	['Internet', 'veeb', 'nett', 'küberruum', 'Kübermaailm', 'võrk', 'internet', 'kübermaailm', 'Netosissetulek', 'Kasum']	['internet', 'netti', 'Internet', 'kyberavaruus', 'verkko', 'seula', 'nettoansio', 'Netto', 'netto', 'pätäkkä', 'nettovoitto', 'Tilikauden voitto', 'nettotulos', 'nettotulo', 'ansiot', 'tulos', 'voitto', 'liikevoitto', 'mammona', 'tuotto', 'ansiotulot']	['netwerk', 'computernetwerk', 'Internet', 'cyberspace', 'internet', 'gaas', 'breisteek', 'vangnet', 'winst', 'verdiensten', 'inkomsten', 'netto-inkomen', 'ontvangsten', 'merites', 'opbrengst', 'Nettowinst', 'gewin', 'netto', 'nettowinst', 'profijt', 'baten', 'winstcijfer', 'baat', 'winstcijfers']	['इन्टरनेट', 'सायबरस्पेस', 'अंतरजाल', 'इंटरनेट', 'अंतर्जाल', 'जाल', 'निवल आय', 'लाभ']	['internet', 'rete informatica', 'rete di calcolatori', 'rete', 'Internet', 'cyberspazio', 'maglia', 'reti', 'guadagno', 'utile netto', 'reditto netto', 'profitto', 'netto', 'provento', 'reddito netto', 'rendimento', 'utile', 'lucro', 'ricavato', 'ricavo', 'frutto']	['web', 'mesh', 'network', 'snare']	['réseau', 'maille']	['Gewebe', 'Geflecht', 'Fangnetz', 'Netzwerk']	['сетка', 'паутина', 'система']	['网络', '网罗', '网状物']	['malla', 'tejido', 'telaraña']	['ネット', '漁網', '巣', 'ウェブ']	["그물", "네트워크", "인터넷", "어망"]	["võrgustik", "püünis"]	["verkosto", "netti"]	["netwerk", "web", "vangnet"]	["जालिका", "फंदा"]	["reticolo", "ragnatela", "network"]
tea	tea	thé	Tee	чай	茶	té	茶	차	tee	tee	thee	चाय	tè	['tea', 'dinner', 'evening meal', 'supper', 'tea leaf']	['thé', 'repas du soir', 'dîner', 'souper', 'déjeuner', 'feuille de thé']	['Tee', 'Nachtessen', 'Abendbrot', 'Abendessen', 'Hauptmahlzeit', 'Dinner', 'Teeblatt', 'Teeblätter']	['чай', 'ужин', 'обед', 'у́жин', 'ча́йные ли́стья', 'ча́йный лист']	['茶', '红茶', '晚餐', '正餐', '晚飯', '主餐', '晚饭', '茶叶', '茶葉']	['té', 'cena', 'comida', 'tisana', 'infusión', 'hoja de té']	['茶', '夜食', '夕食', '茶葉', 'お茶っ葉']	['차', '저녁', '주찬', '차잎', '찻잎', '다엽']	['tee']	['tee', 'iltapala', 'päivällinen', 'illallinen', 'teelehti', 'teenlehdet', 'teenlehti']	['thee', 'diner', 'middagmaal', 'avondmaal', 'avondeten', 'avondmaaltijd', 'eten', 'middageten', 'etentje', 'theeblad']	['चाय', 'रात का भोजन', 'खाना', 'भोजन', 'दावत', 'भोज']	['tè', 'thè', 'cena', 'desinare', 'foglia di tè']	['brew', 'infusion', 'beverage', 'leaves']	['infusion', 'tisane']	['Aufguss', 'Getränk', 'Kräutertee']	['заварка', 'напиток']	['茶叶', '茶水', '茶饮']	['infusión', 'tisana']	['お茶', '紅茶', '緑茶', '茶葉']	["녹차", "홍차", "마시는 차", "티백"]	["jook", "tõmmis"]	["teejuoma"]	["infusie", "aftreksel"]	["चा", "काढ़ा"]	["infuso", "tisana"]
foot	foot	pied	Fuß	нога	脚	pie	足	발	jalg	jalka	voet	पैर	piede	['foot', 'human foot', 'pes', 'Pes', 'groundwork', 'understructure', 'fundament', 'base', 'substructure', 'foundation']	['pied', 'fondation', 'substruction', 'soubassement', 'infrastructure', 'substructure', 'fondement', 'base']	['Fuß', 'Pes', 'Basis', 'Gründung']	['стопа', 'фундамент']	['腳', '脚', '脚部', '足', '基础', '地基']	['pie', 'pes', 'pata', 'base', 'subestructura', 'cimentación', 'cimiento', 'fundación', 'fundamento']	['ペス', '足', '基礎']	['발', '기초']	['Labajalg', 'vundament', 'Vundament']	['jalkaterä', 'jalka', 'perustus', 'alusrakenne', 'pohja', 'jalusta', 'kanta', 'juuri', 'alaosa', 'pohjatyö', 'perus', 'rakennuspohja', 'jalkopää', 'alapää', 'alusta', 'antura', 'perusta', 'perusrakenne', 'perusmuuri']	['voet', 'voeten', 'poot', 'pootje', 'fundament', 'basis', 'fundering', 'grondvesting', 'grondslag', 'grondvest', 'bedding']	['पैर', 'बुनियाद']	['piede', 'base', 'fondazione', 'fondazioni', 'piedistallo', 'piedestallo', 'sottofondo']	['paw', 'hoof', 'base', 'foundation']	['patte', 'base', 'socle']	['Pfote', 'Tatze', 'Sohle', 'Basis']	['ступня', 'стопа']	['足', '脚丫', '脚掌']	['pata', 'base', 'pedestal']	['脚', '足元', '歩', 'フィート']	["발바닥", "발목", "족", "보행"]	["käpp", "tald"]	["jalkaterä", "tassu"]	["poot", "onderkant", "basis"]	["पाँव", "चरण", "पद"]	["zampa", "base", "fondo"]
door	door	porte	Tür	дверь	门	puerta	扉	문	uks	ovi	deur	दरवाजा	porta	['door', 'door case', 'doorcase', 'door frame', 'doorway', 'doorframe']	['encadrement de porte', 'porte', 'portière', 'huis']	['Türfutter', 'Türrahmen', 'Tor', 'Türzarge', 'Türen', 'Tür', 'Türe']	['две́ри', 'дверь']	['戶', '門', '门', '门儿', '門兒', '門扉']	['puerta', 'marco de puerta', 'seguro']	['門', 'ドア', '扉', '戸', '戸口']	['문']	['uks']	['ovi']	['poort', 'portier', 'deur']	['द्वार', 'दरवाज़ा', 'दर', 'प्रवेश', 'दरवाजा']	['telaio della porta', 'porta', 'portiera', 'uscio', 'sportello']	['entrance', 'portal', 'gateway', 'entry']	['portail', 'entrée', 'accès']	['Pforte', 'Eingang', 'Tor', 'Zugang']	['вход', 'портал']	['大门', '门户', '门口']	['portal', 'entrada', 'acceso', 'portón']	['ドア', '戸', '出入り口', '門']	["출입구", "현관", "대문", "문짝"]	["värav", "sissepääs"]	["portti", "oviaukko"]	["poort", "ingang", "toegang"]	["द्वार", "किवाड़"]	["portone", "uscio", "ingresso"]
snow	snow	neige	Schnee	снег	雪	nieve	雪	눈	lumi	lumi	sneeuw	बर्फ	neve	['snow', 'snow cover', 'snowfall', 'snow mantle']	['neige', 'couche de neige', 'chute de neige']	['Schneedecke', 'Schneefall', 'Schnee']	['снегопад', 'снег']	['雪', '下雪', '降雪']	['nevada', 'capa de nieve', 'nieve', 'nevar']	['雪', '降雪', 'ゆき']	['눈']	['lumi']	['lumi', 'lumisade']	['sneeuw', 'sneeuwlaag', 'sneeuwval', 'sneeuwwit', 'sneeuwen']	['हिम', 'हिमपात', 'बर्फ़']	['nevicata', 'caduta di neve', 'neve']	['flurry', 'blizzard', 'powder', 'sleet']	['poudreuse', 'blanche']	['Flocken', 'Weiß', 'Pulverschnee']	['снежок', 'метель', 'вьюга']	['雪花', '积雪', '雪地']	['nevada', 'nevisca', 'blancura']	['積雪', '雪景色', '降雪', '粉雪']	["강설", "백설", "설경", "눈보라"]	["lumevaip", "lumesadu"]	["lumihiutale", "pyry"]	["sneeuwval", "sneeuwvlok", "winterweer"]	["हिम", "तुषार", "तुहिन"]	["nevicata", "bianco"]
horse	horse	cheval	Pferd	лошадь	马	caballo	馬	말	hobune	hevonen	paard	घोड़ा	cavallo	['horse', 'Equus caballus']	['cheval', 'equus caballus']	['Gaul', 'Pferd', 'Ross', 'Hauspferd']	['лошадь', 'домашняя лошадь']	['馬', '马']	['caballo', 'Equus ferus caballus', 'yegua', 'equinos']	['馬', 'ウマ', 'Equus caballus']	['말']	['hobune']	['hevonen', 'Equus caballus']	['paard', 'peerd', 'viervoeter', 'ros']	['घोड़ा']	['cavallo', 'Equus ferus caballus', 'Equus caballus']	['steed', 'stallion', 'mare', 'pony']	['destrier', 'monture', 'canasson']	['Ross', 'Gaul', 'Hengst', 'Stute']	['конь', 'скакун', 'жеребец']	['马匹', '骏马', '坐骑']	['corcel', 'equino', 'potro', 'yegua']	['競走馬', '馬匹', '駿馬', '子馬']	["마", "백마", "경주마", "조랑말"]	["ratsu", "ruun"]	["ratsu", "tamma", "ori"]	["ros", "hengst", "merrie"]	["अश्व", "तुरंग", "हय"]	["destriero", "puledro", "stallone"]
one	one	un	eins	один	一	uno	一	하나	üks	yksi	een	एक	uno	['one', 'ace', 'unity', 'I', 'single', 'Numero Uno']	['un', 'Un']	['eins', 'Eins', 'ein']	['один', 'одно́', 'раз', 'оди́н', 'одна́', 'едини́ца']	['一']	['uno', 'es', 'dos']	['一', '一つ']	['한', '하나', '일']	['üks', 'Üks']	['yksi', 'ykkönen', 'I']	['één', 'een', 'i', 'twee']	['इक', 'एक']	['uno']	['single', 'sole', 'individual', 'unit']	['unique', 'seul']	['einzig', 'einzeln', 'erste']	['единица', 'единственный']	['壹', '单一', '唯一']	['único', 'primero', 'singular']	['一つ', '単一', '唯一']	["일", "단일", "첫째", "유일"]	["esimene", "ainus"]	["ykkönen", "ensimmäinen"]	["eerste", "enkel", "enkelvoud"]	["पहला", "आदि", "एकल"]	["unico", "singolo", "primo"]
two	two	deux	zwei	два	二	dos	二	둘	kaks	kaksi	twee	दो	due	['two', 'deuce', 'II']	['deux']	['zwei', 'Zwei']	['двойка', 'дво́йка', 'две', 'два', 'дво́е']	['貳', '二', '贰', '两', '兩']	['dos']	['二', '二つ']	['둘', '이', '두']	['kaks', 'Kaks']	['kakkonen', 'kaksi', 'II']	['twee']	['द्वि', 'दुई', 'दो']	['due']	['pair', 'couple', 'duo', 'twin']	['paire', 'couple']	['Paar', 'Duo', 'doppelt']	['пара', 'двойка']	['贰', '双', '俩']	['par', 'dúo', 'pareja']	['二つ', '双', 'ペア']	["이", "쌍", "한 쌍", "두 개"]	["paar", "kakspaar"]	["kakkonen", "toinen"]	["paar", "tweetal", "duo"]	["द्वि", "युगल", "जोड़ा"]	["paio", "coppia", "secondo"]
six	six	six	sechs	шесть	六	seis	六	여섯	kuus	kuusi	zes	छह	sei	['six', 'half a dozen', 'sextuplet', 'VI', 'Captain Hicks', 'sise', 'sextet', 'hexad', 'sixer', 'sestet']	['demi-douzaine', 'sextuor']	['Schwindler', 'sechs', 'halbes Dutzend']	['шесть', 'полдю́жины', 'ше́стеро']	['六']	['seis', 'Sexteto de música', 'sixer', 'sexteto', 'sise', 'hexad', 'sestet']	['六', 'シックス', '六つ']	['륙', '여섯', '육']	['kuus', 'Kuus']	['kuusi', 'puoli tusinaa', 'sekstetti', 'kuusikko', 'Captain Hicks', 'VI', 'heksa', 'kuutonen']	['zes', 'sextool']	['छः', 'छह']	['sei', 'sestetto']	['half-dozen', 'sextet', 'hexad']	['demi-douzaine']	['Sechser', 'halbes Dutzend']	['шестерка', 'шестёрка']	['陆', '六个', '六份']	['media docena', 'séxtuple']	['六つ', '六人', '六日']	["육", "육개", "여섯째"]	["kuuik"]	["kuutonen", "kuudes"]	["zestal", "sextet"]	["षट्", "षष्ठ"]	["sesto", "sestina"]
eight	eight	huit	acht	восемь	八	ocho	八	여덟	kaheksa	kahdeksan	acht	आठ	otto	['eight', 'octonary', 'ogdoad', 'VIII', 'octet', 'eighter', 'eighter from Decatur', 'octad']	['huit']	['acht', 'Acht']	['восемь']	['八']	['ocho', 'octad']	['八']	['여덟']	['kaheksa', 'Kaheksa']	['kahdeksan', 'VIII', 'kahdeksikko']	['acht']	['आठ']	['otto']	['octet', 'octad']	['octuple']	['Oktett', 'Achter']	['восьмерка', 'восьмёрка']	['捌', '八个', '八份']	['octavo', 'óctuple']	['八つ', '八人', '八日']	["팔", "여덟째", "팔인"]	["kaheksik"]	["kahdeksikko", "kahdeksas"]	["achttal", "octet"]	["अष्ट", "अष्टक"]	["ottavo", "ottetto"]
ten	ten	dix	zehn	десять	十	diez	十	열	kümme	kymmenen	tien	दस	dieci	['ten', 'decade', 'tenner', 'X']	['dix', 'dizaine', 'décennie']	['zehn', 'Zehn']	['десять', 'де́сять', 'де́сятеро']	['拾', '十']	['diez', 'decena', 'década']	['十']	['열', '십']	['kümme']	['kymmenen', 'kymppi', 'dekadi', 'kybä', 'X', 'kypä']	['tien', 'tientje']	['दस', 'दश', 'दह']	['dieci']	['decade', 'decad']	['dizaine', 'décade']	['Dekade', 'Zehner']	['десятка']	['拾', '十个', '十份']	['decena', 'década']	['十個', '拾', 'テン']	["십", "열째", "십개"]	["kümnend"]	["kymppi", "kymmenes"]	["tiental", "dozijn"]	["दशक", "दहाई"]	["decimo", "decina"]
head	head	tête	Kopf	голова	头	cabeza	頭	머리	pea	pää	hoofd	सिर	testa	['head', 'brain', 'mind', 'nous', 'psyche', 'Nous', 'caput', 'leader', 'director', 'boss', 'chief', 'managing director', 'manager', 'top dog', 'question']	['psyché', 'esprit', 'noûs', 'Noûs', 'cerveau', 'tête', 'chef', 'leader', 'directeur', 'directrice', 'gestionnaire', 'administrateur', 'gérant', 'thème', 'question', 'point']	['Verstand', 'Nous', 'Psyche', 'Geist', 'Wahrnehmung', 'Haupt', 'Kopf', 'Leiter', 'Führer', 'Fragestellung']	['Нус', 'ра́зум', 'психика', 'ум', 'голова', 'глава́', 'башка́', 'голова́', 'директор']	['头脑', '脑海', '头', '脑袋', '精神', '心智', '心靈', '智性', '心灵', '头部', '頭子', '頭部', '头子', '頭', '腦袋', '首', '頭腦', '会长', '首领', '领袖', '领导人', '领导', '主管', '董事', '主任', '理事', '当家人', '经理', '导演', '首脑']	['mente', 'psique', 'Mente', 'Nous', 'nous', 'cabeza', 'cerebro', 'marote', 'melón', 'testa', 'sesera', 'coco', 'sabiola', 'tarro', 'maceta', 'chola', 'punta', 'líder', 'jefe', 'autoridad', 'dirigente', 'director', 'gerente', 'gestor', 'administrador', 'directora', 'manager', 'responsable', 'tema', 'asunto', 'encabezado', 'cuestión', 'titular', 'aspecto', 'materia', 'tópico']	['心', 'ヌース', '念頭', 'プシュケー', '頭', '頭部', 'リーダー', '指導者', '部門長', '役員']	['누스', '프시케', '마음', '머리', '부서장']	['nous', 'psüühika', 'Psüühika', 'Nous', 'vaim', 'Vaim', 'pea', 'direktor']	['Nous', 'Psyyke', 'mieli', 'pää', 'psyyke', 'nous', 'järki', 'älli', 'lanttu', 'kallo', 'johtaja', 'päällikkö', 'toimitusjohtaja', 'pomo', 'kysymys', 'asia']	['brein', 'verstand', 'psyche', 'Nous', 'geest', 'nous', 'denkvermogen', 'rede', 'kop', 'hoofd', 'baas', 'bazin', 'leider', 'op uw plaatsen, klaar, af!', 'directeur', 'chef', 'meester', 'meesteres', 'uitbater', 'exploitant', 'manager', 'dirk', 'beheerder', 'bedrijfsleider', 'schoolhoofd', 'rector', 'ouwe', 'bestuurder', 'thema', 'kwestie', 'vraagstuk', 'probleem', 'vraag']	['मन', 'सिर', 'सर']	['testare', 'pensiero', 'mente', 'cervello', 'Intelletto cosmico', 'psiche', 'nous', 'testa', 'psicologia', 'capo', 'capoccia', 'zucca', 'chiorba', 'cranio', 'direttore', 'leader', 'principale', 'guru', 'capintesta', 'amministratore', 'manager', 'amministratore delegato', 'gestore', 'gerente', 'comandante', 'responsabile', 'tema', 'questione', 'capitolo']	['skull', 'cranium', 'crown', 'noggin']	['crâne', 'chef', 'sommet']	['Haupt', 'Schädel', 'Oberhaupt', 'Anführer']	['череп', 'умственные способности']	['头部', '脑袋', '首领']	['testa', 'cráneo', 'cerebro', 'mente', 'líder']	['頭部', '首', '脳', '頂点']	["두부", "두통", "두뇌", "정상"]	["kolju", "juht"]	["nuppi", "kallo"]	["kop", "bovenkant", "leider"]	["मस्तक", "शीर्ष", "मूर्धा"]	["capo", "cranio", "mente"]
shop	shop	magasin	Geschäft	магазин	商店	tienda	店	가게	pood	kauppa	winkel	दुकान	negozio	['shop', 'boutique', 'store', 'retail outlet']	['commerce', 'magasin', 'boutique']	['Einzelhandelsgeschäft', 'Geschäft', 'Laden']	['лавка', 'магазин', 'бути́к', 'магази́н', 'ла́вка']	['商店', '鋪子', '店', '铺子', '店铺', '店鋪']	['tienda', 'comercio', 'negocio', 'establecimiento', 'almacén']	['商店', '店', '販売店', '売店', '店鋪', 'ストア', 'ショップ']	['가게', '판매점', '상점']	['pood', 'kauplus']	['myymälä', 'kauppa']	['winkel', 'magazijn', 'nering', 'atelier', 'zaak', 'werkplaats']	['दुकान', 'दूकान']	['negozio', 'magazzino', 'esercizio', 'spaccio', 'bottega', 'fondo commerciale', 'locale']	['store', 'boutique', 'market', 'outlet']	['boutique', 'commerce', 'échoppe']	['Laden', 'Boutique', 'Kaufhaus', 'Store']	['лавка', 'торговая точка', 'бутик']	['店铺', '商铺', '店面', '零售店']	['almacén', 'comercio', 'negocio', 'local']	['商店', '店舗', '売店', 'ショップ']	["상점", "점포", "매장", "소매점"]	["kauplus", "äri"]	["liike", "puoti", "myymälä"]	["zaak", "magazijn", "boetiek"]	["प्रापण", "विक्रयशाला"]	["bottega", "emporio", "magazzino"]
eye	eye	œil	Auge	глаз	眼睛	ojo	目	눈	silm	silmä	oog	आंख	occhio	['eye', 'eyes', 'eyeball', 'eye ball', 'optic', 'oculus', 'heart', 'center', 'centre', 'middle']	['yeux', "globe de l'oeil", 'œil', 'globe oculaire', 'centre']	['Augapfel', 'Auge', 'Augen']	['глаз', 'глазное яблоко', 'око']	['眼睛', '眼', '目', '睛球', '睛', '中间', '中心', '中心点', '中央']	['ojos', 'ojo', 'globo ocular', 'oculus', 'centro', 'corazón', 'medio']	['目', '眼球', '眼']	['눈']	['silm', 'silmamuna']	['silmämuna', 'silmä', 'näkö-', 'näkö', 'keskusta', 'keskus', 'sydän', 'keskipiste']	['oogbol', 'ogen', 'oogappel', 'oog', 'kijker', 'kijkers', 'kern', 'hart']	['आँख', 'आंख']	['bulbo oculare', 'occhio', 'occhi', 'centro', 'mezzo', 'cuore']	['optic', 'peeper', 'oculus', 'orb']	['globe oculaire', 'vue']	['Sehorgan', 'Sehvermögen', 'Blick']	['око', 'взгляд', 'зрение']	['眼', '眼珠', '目']	['vista', 'mirada', 'visión']	['眼', '視力', '目つき', '眼球']	["안구", "시력", "시선", "눈동자"]	["nägemisorgam", "pilk"]	["näköelin", "silmämuna"]	["kijker", "gezichtsvermogen", "blik"]	["नेत्र", "नयन", "लोचन"]	["vista", "sguardo", "visione"]
