en,zh,en_tok,zh_tok,en_to_zh_prob,zh_to_en_prob,fr,fr_tok,en_to_fr_prob,fr_to_en_prob,de,de_tok,en_to_de_prob,de_to_en_prob,ru,ru_tok,en_to_ru_prob,ru_to_en_prob
▁salad,沙拉,23216,213120,0.288,0.7036,▁salade,155276,0.8145,0.9087,▁Salat,156163,0.612,0.1252,▁сала,187306,0.084,0.0704
▁salary,工资,18463,123528,0.372,0.596,▁salaire,164557,0.4294,0.5796,▁Gehalt,225347,0.6436,0.6313,▁зар,154492,0.1753,0.2184
▁salt,盐,9193,239541,0.581,0.8594,▁sel,4540,0.9624,0.9375,▁Salz,40422,0.9004,0.873,▁соль,117521,0.522,0.891
▁say,说,1931,235726,0.2917,0.2847,▁dire,1789,0.548,0.4897,▁sagen,38419,0.482,0.5117,▁сказать,69334,0.2488,0.536
▁sea,海,4176,235878,0.634,0.751,▁mer,2517,0.6895,0.8584,▁Meer,48735,0.4424,0.7676,▁море,80150,0.1627,0.7974
▁seems,seems,4930,106310,0.1996,0.351,▁semble,45734,0.68,0.6763,▁scheint,61605,0.423,0.6294,▁кажется,101501,0.2827,0.5693
▁sensitive,敏感,16955,97348,0.57,0.72,▁sensible,35830,0.6973,0.3374,▁sensi,17387,0.4653,0.292,▁чувстви,181257,0.11505,0.2253
▁series,系列,4100,25035,0.2573,0.7715,▁série,23080,0.2888,0.795,▁Serie,38929,0.3315,0.6836,▁серия,94109,0.0925,0.6987
▁seven,七,6861,236493,0.8794,0.9297,▁sept,43871,0.9727,0.959,▁sieben,95777,0.845,0.9663,▁семь,145268,0.1132,0.926
▁she,她,1284,235873,0.4497,0.6265,▁elle,11340,0.9106,0.6685,▁sie,4021,0.7065,0.2449,▁она,22294,0.4395,0.759
▁ship,船,7509,237166,0.5366,0.458,▁navire,165054,0.4043,0.854,▁Schiff,67036,0.786,0.7583,▁кора,86593,0.1162,0.7524
▁shop,店,6920,235912,0.4944,0.5596,▁magasin,65543,0.312,0.477,▁Laden,81587,0.3342,0.535,▁магазин,99839,0.1315,0.566
▁short,短,3309,236809,0.702,0.7944,▁court,4624,0.808,0.5283,▁kurz,43848,0.7,0.5903,▁корот,153435,0.08203,0.7544
▁should,应该,1412,22517,0.1947,0.6,▁devrait,62271,0.1841,0.7227,▁sollte,27944,0.3032,0.7163,▁должен,53287,0.1373,0.3154
▁skin,皮,5239,236624,0.1813,0.431,▁peau,49405,0.939,0.911,▁Haut,45618,0.8335,0.5293,▁кожа,69230,0.04907,0.4397
▁sky,天,8203,235654,0.569,0.2837,▁ciel,22744,0.794,0.9614,▁Himmel,64471,0.4893,0.6157,▁небо,124277,0.3945,0.822
▁small,小,2301,235585,0.8765,0.6514,▁petit,21065,0.907,0.6475,▁klein,28200,0.739,0.8384,▁маленький,166135,0.1436,0.731
▁snow,雪,8529,236722,0.7153,0.8755,▁neige,77898,0.902,0.966,▁Schnee,122237,0.9307,0.9136,▁сне,62640,0.3064,0.7275
▁sometimes,有时,6947,120513,0.3206,0.7,▁parfois,56208,0.3699,0.82,▁manchmal,97391,0.2957,0.8057,▁иногда,102165,0.3613,0.7964
▁song,歌,5169,236481,0.2974,0.741,▁chanson,71473,0.5728,0.9595,▁Lied,83167,0.746,0.8564,▁песня,181181,0.2842,0.9053
▁soul,魂,9420,237747,0.2917,0.614,▁âme,114348,0.7593,0.848,▁Seele,67899,0.8105,0.7153,▁душа,132294,0.3542,0.837
▁special,特,3186,235839,0.2573,0.2866,▁spécial,32610,0.4111,0.758,▁besondere,90293,0.07983,0.747,▁особен,41206,0.05035,0.54
▁specific,特定,3724,78793,0.08704,0.4377,▁spécifique,119666,0.2996,0.6304,▁spezif,137759,0.3442,0.532,▁специфи,194795,0.0823,0.1763
▁spirit,灵,6914,236900,0.12054,0.2817,▁esprit,71943,0.5435,0.618,▁Geist,62927,0.7437,0.511,▁дух,205854,0.477,0.5117
▁spring,春,7921,236544,0.756,0.792,▁printemps,82115,0.7866,0.9033,▁Frühling,185070,0.427,0.76,▁весна,174553,0.1241,0.8613
▁star,星,2343,236181,0.6274,0.7754,▁étoile,89671,0.6616,0.935,▁Stern,38757,0.9395,0.8394,▁звезда,162533,0.1702,0.902
▁statistics,统计,15617,57328,0.6987,0.529,▁statistiques,128648,0.4304,0.8574,▁Statistik,110370,0.5415,0.5664,▁статистика,217635,0.258,0.8105
▁stone,石,9566,236231,0.521,0.751,▁pierre,47374,0.801,0.7734,▁Stein,23836,0.7046,0.7344,▁камень,183592,0.2316,0.7905
▁strategy,策略,9803,64624,0.1892,0.731,▁strat,34162,0.5215,0.1747,▁Strategie,184781,0.712,0.719,▁страте,110438,0.4705,0.6313
▁success,成功,3361,16838,0.4995,0.5166,▁succès,54797,0.2603,0.9253,▁Erfolg,57472,0.6675,0.837,▁успех,212150,0.219,0.815
▁sugar,糖,9347,237295,0.6406,0.787,▁sucre,62601,0.934,0.943,▁Zucker,53729,0.626,0.6665,▁сахар,114878,0.2761,0.8535
▁summer,夏,6186,236535,0.7344,0.74,▁été,8515,0.851,0.905,▁Sommer,39846,0.8306,0.768,▁лето,127067,0.193,0.8774
▁take,取,1987,235855,0.264,0.3755,▁prendre,25283,0.675,0.4646,▁nehmen,42812,0.3406,0.6313,▁взять,113712,0.2212,0.506
▁taste,味,10122,235992,0.183,0.4624,▁goût,71384,0.626,0.85,▁Geschmack,105070,0.73,0.705,▁вкус,90544,0.2227,0.742
▁tea,茶,1763,236602,0.888,0.7915,▁thé,29239,0.7285,0.696,▁Tee,38820,0.9146,0.6567,▁чай,76398,0.558,0.802
▁teacher,老师,9382,33861,0.437,0.746,▁professeur,90775,0.3203,0.7686,▁Lehrer,72199,0.763,0.874,▁учитель,191740,0.6895,0.886
▁television,电视,15734,51733,0.365,0.4575,▁télévision,88935,0.611,0.7065,▁Fernseh,141703,0.2404,0.3997,▁телеви,110733,0.4573,0.618
▁temperature,温度,5809,51717,0.4226,0.67,▁température,63397,0.8013,0.8774,▁Temperatur,89744,0.844,0.7397,▁температура,102441,0.3186,0.8237
▁ten,十,2797,235905,0.757,0.875,▁dix,51102,0.9404,0.9404,▁zehn,78568,0.831,0.9043,▁десять,203904,0.2576,0.861
▁thousand,千,12078,236497,0.4548,0.7563,▁mille,41391,0.9043,0.603,▁Taus,150505,0.84,0.3408,▁тыся,59701,0.1964,0.5664
▁three,三,2149,235745,0.8643,0.8374,▁trois,20763,0.9683,0.939,▁drei,25346,0.878,0.934,▁три,27635,0.3972,0.372
▁today,今天,3646,22180,0.2974,0.7163,▁aujourd,35624,0.51,0.603,▁heute,28457,0.72,0.8564,▁сегодня,48219,0.3806,0.8735
▁translation,翻译,17183,73583,0.2556,0.314,▁traduction,82089,0.817,0.8813,▁Übersetzung,80205,0.491,0.7446,▁перевод,140934,0.4934,0.7065
▁two,二,1378,235796,0.814,0.838,▁deux,9080,0.9497,0.9595,▁zwei,18358,0.8706,0.952,▁два,30428,0.3972,0.942
▁unknown,未知,12417,112271,0.2244,0.5977,▁inconnu,186877,0.465,0.815,▁unbekannt,192895,0.5654,0.7285,▁неизвест,154758,0.2123,0.6343
▁user,用户,2425,16464,0.3855,0.617,▁utilisateur,103685,0.6846,0.8994,▁Benutzer,84355,0.3235,0.833,▁пользователь,230487,0.1538,0.8657
▁vector,矢量,4301,31134,0.1864,0.541,▁vecteur,56066,0.576,0.8257,▁Vek,176080,0.692,0.3745,▁вектор,164011,0.3684,0.793
▁very,非常,1508,13585,0.3765,0.805,▁très,10341,0.629,0.9155,▁sehr,12540,0.883,0.8867,▁очень,18756,0.558,0.816
▁victim,被害,17015,110126,0.2418,0.3728,▁victime,119738,0.8,0.9395,▁Opfer,105352,0.5474,0.4316,▁жерт,134852,0.318,0.3682
▁victory,胜,15032,238054,0.4106,0.442,▁victoire,85171,0.8184,0.9404,▁Sieg,61901,0.792,0.789,▁побе,46228,0.4976,0.6016
▁wait,待,4307,236435,0.173,0.3486,▁attendre,103483,0.4805,0.482,▁warten,106501,0.477,0.411,▁ждать,158179,0.2068,0.427
▁water,水,2003,235773,0.7935,0.7725,▁eau,27443,0.951,0.9526,▁Wasser,21979,0.6357,0.894,▁вода,53234,0.1881,0.9253
▁we,我们,783,7078,0.3777,0.6914,▁nous,5502,0.706,0.6245,▁wir,6254,0.68,0.7393,▁мы,13310,0.799,0.444
▁weak,弱,8742,237580,0.3013,0.7285,▁faible,67958,0.859,0.7666,▁schwach,187602,0.337,0.78,▁сла,41434,0.2406,0.02426
▁what,什么,1212,6161,0.1632,0.636,▁quoi,30392,0.3486,0.7803,▁was,729,0.83,0.27,▁что,4480,0.7188,0.5674
▁white,白,2674,235889,0.7095,0.7886,▁blanc,17799,0.9253,0.909,▁weiß,23348,0.6,0.864,▁белый,62401,0.4172,0.8516
▁who,谁,1064,237144,0.3708,0.71,▁qui,2459,0.6743,0.5415,▁wer,3566,0.58,0.375,▁кто,29523,0.3254,0.674
▁why,为什么,3165,24681,0.403,0.651,▁pourquoi,44144,0.8555,0.932,▁warum,68022,0.4907,0.845,▁почему,61208,0.4028,0.8574
▁wine,酒,10058,236408,0.712,0.4695,▁vin,5700,0.9277,0.942,▁Wein,40818,0.836,0.8003,▁вино,104144,0.2612,0.8687
▁year,年,1162,235489,0.8276,0.7905,▁année,34822,0.513,0.9517,▁Jahr,14247,0.8696,0.8955,▁год,25281,0.3596,0.856
▁yesterday,昨天,13351,85660,0.325,0.7046,▁hier,7176,0.938,0.898,▁gestern,147723,0.6426,0.8755,▁вчера,170516,0.3494,0.8203
▁you,你,692,235608,0.4668,0.736,▁vous,3473,0.4,0.9136,▁du,1344,0.682,0.815,▁ты,17164,0.3628,0.61
▁zero,零,8199,237812,0.6035,0.7144,▁zéro,167378,0.767,0.8184,▁null,1468,0.4053,0.2659,▁ну,16079,0.264,0.2969
