en,fr,en_tok,fr_tok,en_to_fr_prob,fr_to_en_prob
▁deny,▁nier,27982,88526,0.5923,0.3442
▁department,▁département,9888,57781,0.3362,0.766
▁departments,▁départements,23645,208982,0.4717,0.699
▁departure,▁départ,27354,50949,0.906,0.833
▁depend,▁dépend,10499,72713,0.7544,0.4395
▁depth,▁profondeur,10624,100703,0.82,0.858
▁deputy,▁deput,37506,34567,0.1302,0.2156
▁describe,▁décrire,12637,226644,0.57,0.4512
▁described,▁décrit,6547,108107,0.6675,0.7466
▁desert,▁désert,21459,152598,0.451,0.935
▁designed,▁conçu,6869,104323,0.1786,0.3657
▁desire,▁désir,12005,112733,0.3086,0.834
▁despite,▁malgré,12391,70309,0.44,0.6196
▁destiny,▁destin,43666,10066,0.3152,0.618
▁destroy,▁détruire,10108,208028,0.4136,0.5083
▁destroyed,▁détruit,17726,214353,0.808,0.873
▁detail,▁détail,8637,83683,0.398,0.756
▁details,▁détails,4691,42991,0.4082,0.8486
▁determination,▁détermination,17564,225901,0.12445,0.7476
▁determine,▁déterminer,8363,106200,0.1719,0.4224
▁determined,▁déterminé,8245,219671,0.51,0.66
▁developed,▁développé,6990,142439,0.1627,0.7563
▁development,▁développement,3505,37862,0.4307,0.819
▁devil,▁diable,29137,174719,0.69,0.8545
▁devoted,▁dévou,23519,188954,0.1807,0.1671
▁diagnosis,▁diagnostic,19491,23514,0.4314,0.4219
▁diameter,▁diamètre,13779,116678,0.7817,0.87
▁diamond,▁diamant,19419,105319,0.905,0.7866
▁dictionary,▁dictionnaire,25730,201429,0.587,0.911
▁diet,▁régime,11652,71573,0.3052,0.344
▁difference,▁différence,5830,69497,0.5713,0.859
▁differences,▁différences,10216,149343,0.2722,0.8164
▁difficult,▁difficile,5988,39120,0.812,0.785
▁difficulties,▁difficultés,19086,104455,0.681,0.6494
▁difficulty,▁difficulté,15053,120354,0.498,0.779
▁dinner,▁diner,12279,87978,0.1188,0.5415
▁diploma,▁diplôme,41260,202462,0.2957,0.482
▁directed,▁dirigé,13858,220650,0.345,0.3457
▁directly,▁directement,6673,53014,0.3586,0.8154
▁director,▁directeur,8453,65932,0.4993,0.7407
▁directory,▁répertoire,15670,214044,0.2,0.206
▁dirty,▁sale,23048,5934,0.3833,0.665
▁disappear,▁dispara,37343,112676,0.4397,0.6143
▁disaster,▁catastrophe,26509,81503,0.2423,0.6113
▁discover,▁découvrir,8067,53079,0.5264,0.4993
▁discovered,▁découvert,13437,127339,0.4983,0.6753
▁discovery,▁découverte,19182,85931,0.616,0.9033
▁discs,▁disques,57513,206939,0.675,0.3542
▁disease,▁maladie,7197,70909,0.748,0.646
▁diseases,▁maladies,16011,94934,0.8096,0.689
▁disk,▁disque,17257,104038,0.9146,0.41
▁distinguished,▁distingu,24486,12998,0.529,0.455
▁distribute,▁distribu,37125,22424,0.707,0.4763
▁dive,▁plonge,33850,198995,0.4,0.2328
▁diversity,▁diversité,19871,120522,0.7915,0.7827
▁divide,▁divis,24471,36395,0.346,0.5156
▁doctor,▁médecin,9353,87088,0.4204,0.8936
▁doctors,▁médecins,20671,151699,0.583,0.672
▁documentary,▁documentaire,37115,180158,0.756,0.7085
▁does,▁fait,1721,8656,0.4233,0.1693
▁dog,▁chien,5929,53470,0.7104,0.9556
▁dogs,▁chiens,12075,110889,0.7925,0.929
▁doll,▁poupée,7474,209588,0.2032,0.8975
▁door,▁porte,4444,20128,0.7817,0.7944
▁doors,▁portes,13076,66843,0.677,0.7017
▁doubt,▁doute,8192,47122,0.2627,0.8433
▁download,▁télécharger,6767,106127,0.8257,0.819
▁drama,▁drame,17046,169011,0.6724,0.4521
▁dramatic,▁dramatique,24988,213787,0.52,0.643
▁drawing,▁dessin,10478,38887,0.435,0.646
▁drawings,▁dessins,24950,112318,0.2676,0.66
▁dream,▁rêve,6523,79212,0.4165,0.9497
▁dreams,▁rêves,15800,150149,0.1538,0.921
▁drink,▁boire,7182,136122,0.8647,0.4915
▁driver,▁conducteur,8569,172764,0.3474,0.7676
▁drop,▁goutte,7605,221249,0.2717,0.877
▁drops,▁gouttes,18969,233940,0.365,0.8135
▁drum,▁tambour,22112,185020,0.0864,0.8003
▁dry,▁sec,6050,1278,0.737,0.8804
▁duck,▁canard,29828,173616,0.5586,0.8896
▁duke,▁duc,63368,56570,0.7183,0.7354
▁duration,▁durée,14827,56581,0.4968,0.5522
▁during,▁pendant,2290,17057,0.3118,0.5596
▁dust,▁pous,12891,79775,0.2104,0.375
▁duty,▁devoir,10272,88473,0.341,0.3525
▁dynamic,▁dynamique,12415,104075,0.705,0.818
▁each,▁chacun,1853,53794,0.6196,0.7437
▁ear,▁oreille,2007,211882,0.8647,0.965
▁ears,▁oreilles,19475,111012,0.7715,0.8384
▁easily,▁facilement,6645,57318,0.5444,0.8433
▁eastern,▁oriental,21908,56532,0.339,0.2485
▁easy,▁facile,3980,22859,0.49,0.883
▁economic,▁économique,6578,63244,0.6133,0.6816
▁economy,▁économie,9797,191959,0.4277,0.821
▁edition,▁édition,9529,69232,0.2976,0.8916
▁editions,▁éditions,48519,128353,0.4714,0.2126
▁effect,▁effet,4232,21407,0.743,0.921
▁effective,▁efficace,7017,52732,0.3218,0.565
▁effects,▁effets,5701,72333,0.7812,0.8516
▁efficiency,▁efficacité,12148,209661,0.559,0.434
▁eggs,▁oeufs,12776,141196,0.606,0.835
▁eight,▁huit,8469,88938,0.8423,0.9634
▁elected,▁élu,17710,153644,0.735,0.785
▁elections,▁élections,21269,123232,0.849,0.813
▁electric,▁électrique,6038,54210,0.538,0.5103
▁electron,▁électron,9133,75368,0.607,0.702
▁electronic,▁électronique,16034,98539,0.663,0.7764
▁elegant,▁élégant,22045,155314,0.2593,0.701
▁element,▁élément,5356,113657,0.5103,0.6655
▁elements,▁éléments,6635,48559,0.54,0.7
▁eleven,▁onze,29754,30060,0.3691,0.834
▁eliminate,▁élimin,26064,124617,0.2289,0.2705
▁elite,▁élite,25264,196387,0.3042,0.5605
▁elsewhere,▁ailleurs,19247,64257,0.714,0.3853
▁email,▁courriel,4801,198374,0.206,0.713
▁embassy,▁ambassade,76666,196570,0.898,0.6953
▁emerge,▁émer,40594,175607,0.2416,0.0335
▁emotions,▁émotions,22079,162324,0.3872,0.556
▁employee,▁employé,11946,161169,0.5703,0.4658
▁employees,▁employés,8663,99417,0.4521,0.559
▁empty,▁vide,8144,19989,0.902,0.795
▁encyclopedia,▁encyclo,121850,125419,0.7715,0.455
▁end,▁fin,1580,1228,0.826,0.878
▁ends,▁finit,11338,171931,0.4495,0.4045
▁enemies,▁ennemis,19724,112936,0.854,0.867
▁enemy,▁ennemi,12785,206701,0.802,0.901
▁energy,▁énergie,4134,130784,0.4175,0.847
▁engine,▁moteur,4800,48427,0.4336,0.5684
▁enter,▁entrer,3343,90660,0.844,0.5117
▁entering,▁entrant,18530,170484,0.272,0.5337
▁entrance,▁entrée,16277,83036,0.6294,0.6133
▁entries,▁entrées,20108,184852,0.6553,0.3066
▁envelope,▁envelo,26568,223753,0.3586,0.7915
▁environment,▁environnement,4473,83132,0.3296,0.792
▁episode,▁épisode,10587,122092,0.7114,0.782
▁episodes,▁épisodes,24958,153815,0.571,0.7725
▁equal,▁égal,6871,14553,0.635,0.8843
▁equipment,▁équipement,6682,183180,0.3118,0.7964
▁equipped,▁équipé,18605,171747,0.558,0.782
▁error,▁erreur,3333,84511,0.7827,0.745
▁errors,▁erreurs,10266,127278,0.6206,0.5044
▁especially,▁surtout,5199,38140,0.2367,0.3542
▁essential,▁essentiel,8727,132028,0.2249,0.549
▁established,▁établi,8061,126366,0.2133,0.5034
▁establishment,▁établissement,19611,104093,0.2181,0.4875
▁estate,▁domaine,11129,50441,0.565,0.3328
▁estates,▁domaines,58830,110470,0.2018,0.1816
▁estimated,▁estimé,11995,214493,0.5625,0.523
▁eternal,▁éter,28182,124312,0.789,0.25
▁evaluation,▁évaluation,13167,197446,0.457,0.6265
▁evaluations,▁évaluations,62350,69791,0.1396,0.357
▁even,▁pair,1693,8537,0.12024,0.3032
▁evening,▁soir,9478,31509,0.4248,0.802
▁event,▁événement,3071,109237,0.377,0.79
▁events,▁événements,5562,85600,0.433,0.855
▁everywhere,▁partout,17165,73062,0.811,0.896
▁evolution,▁évolution,14764,162024,0.5723,0.573
▁evolve,▁évolu,48546,108341,0.4138,0.5938
▁exactly,▁exactement,7880,104679,0.7393,0.8286
▁exam,▁examen,7106,68294,0.6465,0.5054
▁example,▁exemple,3287,30343,0.751,0.879
▁examples,▁exemples,8944,34168,0.77,0.8857
▁except,▁sauf,7694,93134,0.3306,0.7305
▁exceptional,▁exceptionnel,27962,204499,0.3672,0.2067
▁exchange,▁échange,10036,160744,0.3726,0.5938
▁exclude,▁excl,40104,179391,0.5366,0.2551
▁excluded,▁exclu,30111,8037,0.317,0.3882
▁exclusively,▁exclusivement,27036,173941,0.5117,0.3552
▁executed,▁exécut,22315,154221,0.393,0.4897
▁exercise,▁exercice,9987,168555,0.642,0.772
▁exercises,▁exercices,21426,153678,0.6016,0.72
▁exhibition,▁exposition,21707,63933,0.834,0.619
▁exhibitions,▁expositions,58349,174909,0.7886,0.5225
▁existing,▁existant,7881,225749,0.278,0.4094
▁exists,▁existe,10489,22692,0.6855,0.544
▁exit,▁sortie,13581,46395,0.9146,0.568
▁expenses,▁dépenses,16945,135293,0.2883,0.6567
▁experience,▁expérience,3281,44592,0.4888,0.8716
▁experiments,▁expériences,13818,114669,0.243,0.3843
▁explained,▁expliqué,11601,147813,0.2827,0.792
▁explains,▁explique,19771,80332,0.746,0.8066
▁explanation,▁explication,15844,193731,0.695,0.844
▁exposed,▁exposé,15401,171936,0.478,0.2046
▁extent,▁étendue,10617,183216,0.2515,0.09875
▁extract,▁extrait,16787,151655,0.723,0.8076
▁extraordinary,▁extraordinaire,25526,144323,0.4521,0.2632
▁extreme,▁extrême,7274,85688,0.7656,0.3987
▁extremely,▁extrêmement,10238,115160,0.4536,0.633
▁eye,▁œil,6312,187926,0.5693,0.9434
▁eyes,▁yeux,4628,37759,0.9272,0.9175
▁face,▁visage,3142,56950,0.476,0.949
▁facility,▁facilite,13318,121536,0.06476,0.2355
▁factor,▁facteur,7435,183085,0.4585,0.3828
▁factors,▁facteurs,7549,109973,0.72,0.4138
▁factory,▁usine,11902,162894,0.2915,0.8706
▁facts,▁faits,10275,62744,0.642,0.4426
▁faculty,▁faculté,21143,219504,0.2225,0.4915
▁faith,▁foi,8278,11077,0.7856,0.88
▁falls,▁chutes,16069,195075,0.2308,0.2275
▁false,▁faux,1566,38952,0.7354,0.567
▁families,▁familles,9160,77106,0.7725,0.858
▁family,▁famille,2730,25395,0.8135,0.9053
▁famous,▁célèbre,10964,81418,0.3225,0.7124
▁fantastic,▁fantastique,15814,185816,0.543,0.457
▁far,▁loin,2166,36868,0.8364,0.8687
▁farm,▁ferme,7091,61077,0.1155,0.858
▁fast,▁rapide,4847,23185,0.3926,0.522
▁fat,▁gras,6181,52465,0.507,0.3806
▁father,▁père,5842,41360,0.605,0.9404
▁fathers,▁pères,39935,231975,0.3853,0.6714
▁favor,▁faveur,4287,90826,0.2183,0.492
▁favorite,▁préféré,7827,152059,0.3477,0.3599
▁favorites,▁favoris,34213,182798,0.332,0.3108
▁fear,▁peur,7440,69697,0.4949,0.8926
▁federal,▁fédéral,10871,177676,0.6978,0.786
▁feed,▁nourrir,5513,220721,0.2156,0.5503
▁feeling,▁sentiment,7965,25627,0.2925,0.628
▁feelings,▁sentiments,14690,49957,0.2303,0.678
▁feet,▁pieds,5368,53226,0.4214,0.8438
▁festival,▁fête,12719,57580,0.3608,0.4336
▁fever,▁fièvre,23391,225941,0.931,0.8833
▁field,▁champ,2725,32016,0.2065,0.87
▁fields,▁champs,7969,68774,0.3665,0.7817
▁fifteen,▁quinze,28167,139372,0.923,0.8286
▁fifty,▁cinquante,21819,180053,0.4229,0.85
▁files,▁dossiers,6630,152254,0.1354,0.594
▁filter,▁filtre,7194,81904,0.4456,0.846
▁filters,▁filtres,21863,217837,0.738,0.8403
▁finally,▁enfin,6247,50174,0.4055,0.6035
▁find,▁trouver,1717,26015,0.6353,0.554
▁finds,▁trouve,16420,30480,0.4084,0.364
▁finger,▁doigt,13864,169956,0.464,0.818
▁fingers,▁doigts,18976,131128,0.7305,0.8213
▁finished,▁fini,9351,74544,0.423,0.3782
▁fire,▁feu,3967,28153,0.7964,0.9185
▁fireplace,▁cheminée,43485,190921,0.2104,0.4746
▁first,▁premier,1370,14916,0.8823,0.9233
▁fish,▁poisson,5001,95145,0.9624,0.964
▁fishing,▁pêche,15190,75996,0.582,0.647
▁five,▁cinq,4105,48146,0.8,0.842
▁fixed,▁fixe,8115,100736,0.3071,0.746
▁flag,▁drapeau,8969,136856,0.7856,0.913
▁flame,▁flamme,24502,173673,0.3347,0.5674
▁flexible,▁souple,17547,139832,0.3247,0.3403
▁flight,▁vol,11247,2511,0.4207,0.2815
▁flood,▁inond,17468,211256,0.459,0.705
▁floor,▁plancher,6784,220523,0.2878,0.7837
▁floors,▁étages,28066,222469,0.786,0.7075
▁flour,▁farine,16251,98148,0.7183,0.9033
▁flower,▁fleur,10377,58962,0.821,0.9585
▁flowers,▁fleurs,9148,44599,0.8965,0.9023
▁fluid,▁fluide,14721,155882,0.7485,0.538
▁flying,▁volant,15494,120471,0.266,0.2103
▁foam,▁mousse,24565,69031,0.53,0.5737
▁fog,▁brou,17373,112116,0.662,0.1263
▁fold,▁pli,13528,61435,0.2954,0.0753
▁follow,▁suivre,1611,48225,0.4907,0.572
▁following,▁suivant,2412,52480,0.3152,0.3865
▁follows,▁suit,6397,9460,0.8125,0.269
▁food,▁nourriture,2960,96317,0.2522,0.919
▁foot,▁pied,4701,16551,0.917,0.7915
▁for,▁pour,604,1982,0.5835,0.7017
▁forbidden,▁interdit,46539,145969,0.7773,0.4563
▁forced,▁forcé,12817,121941,0.36,0.599
▁forests,▁forêts,27168,157952,0.468,0.6294
▁forgotten,▁oublié,23600,77997,0.7764,0.779
▁form,▁forme,1736,21224,0.4055,0.516
▁formed,▁formé,10311,146475,0.4648,0.6914
▁forms,▁formes,7539,68132,0.3916,0.627
▁formula,▁formule,10513,88231,0.7114,0.803
▁forty,▁quarante,23815,179068,0.7114,0.8833
▁foundation,▁fondation,15620,174082,0.4827,0.7056
▁founded,▁fondé,18942,178342,0.5376,0.7363
▁founder,▁fondateur,27156,190923,0.554,0.8384
▁four,▁quatre,2785,33454,0.948,0.968
▁fourth,▁quatrième,12201,135038,0.3962,0.8667
▁frame,▁cadre,5265,34728,0.2186,0.4358
▁free,▁libre,2223,12640,0.679,0.834
▁freedom,▁liberté,11402,56199,0.8022,0.6636
▁freely,▁librement,26304,212122,0.2617,0.4995
▁frequency,▁fréquence,10474,143169,0.665,0.7886
▁frequent,▁fréquent,19669,190259,0.3262,0.2605
▁fresh,▁frais,6422,35711,0.4421,0.835
▁fridge,▁frigo,38641,203149,0.2676,0.5
▁friend,▁ami,4034,34047,0.8965,0.937
▁friends,▁amis,4078,43598,0.6157,0.8813
▁friendship,▁amitié,25217,212104,0.5093,0.84
▁fuel,▁combustible,9719,71329,0.1481,0.695
▁full,▁plein,2247,43063,0.63,0.7656
▁function,▁fonction,1411,16757,0.6494,0.3323
▁functions,▁fonctions,7257,70498,0.682,0.5674
▁fund,▁fonds,3466,64511,0.2384,0.1572
▁fundamental,▁fondamental,14127,217388,0.4526,0.532
▁funny,▁drôle,10555,163467,0.3638,0.6177
▁furniture,▁meubles,16241,123609,0.3208,0.866
▁future,▁futur,3936,80481,0.2314,0.8486
▁galaxy,▁galax,18554,51790,0.408,0.8306
▁gallery,▁galerie,12167,94667,0.3542,0.748
▁game,▁jeu,2398,25929,0.6787,0.8438
▁games,▁jeux,5178,45960,0.8506,0.8184
▁garden,▁jardin,8717,35858,0.686,0.9253
▁gardens,▁jardins,27150,108586,0.6724,0.828
▁gas,▁gaz,5137,21621,0.6235,0.6616
▁general,▁général,3311,20150,0.6016,0.7563
▁generally,▁généralement,7783,40443,0.2998,0.495
▁generation,▁génération,10304,106929,0.487,0.8784
▁generations,▁générations,24714,203973,0.519,0.819
▁generator,▁génér,22997,36761,0.336,0.4265
▁genius,▁génie,27979,130194,0.643,0.841
▁gently,▁doucement,26725,194728,0.4097,0.2837
▁geographical,▁géographique,37877,111912,0.539,0.568
▁geography,▁géographie,53206,169299,0.605,0.8057
▁ghost,▁fant,24294,8369,0.474,0.1902
▁giant,▁géant,17835,175770,0.839,0.888
▁gift,▁cadeau,8135,59786,0.4817,0.7456
▁gifts,▁cadeaux,17196,123878,0.6494,0.629
▁girl,▁fille,4602,29994,0.4912,0.6797
▁girls,▁filles,8216,64894,0.3718,0.674
▁give,▁donner,2734,29607,0.6562,0.5107
▁given,▁donné,2764,43113,0.293,0.7344
▁gives,▁donne,6156,28174,0.661,0.4358
▁glass,▁verre,5570,39622,0.897,0.9214
▁glasses,▁verres,19906,186127,0.457,0.8535
▁glory,▁gloire,20490,98498,0.731,0.717
▁glove,▁gant,53535,91040,0.3215,0.8164
▁gloves,▁gants,25026,174358,0.4702,0.8774
▁go,▁aller,871,12938,0.4678,0.5396
▁goat,▁chèvre,40692,218478,0.3801,0.8325
▁god,▁dieu,6255,112724,0.5874,0.6504
▁gods,▁dieux,23694,169933,0.3489,0.8457
▁goes,▁va,6128,5227,0.7554,0.4739
▁good,▁bon,1426,5234,0.8584,0.833
▁goods,▁marchandises,9653,138795,0.733,0.7065
▁government,▁gouvernement,3838,38533,0.4126,0.851
▁governments,▁gouvernements,20651,216225,0.535,0.689
▁governor,▁gouverneur,23699,175041,0.847,0.8794
▁grams,▁grammes,27491,139758,0.7383,0.572
▁graphic,▁graphique,19176,108088,0.4858,0.62
▁grass,▁herbe,10996,145779,0.815,0.6836
▁gray,▁gris,13676,21858,0.619,0.434
▁green,▁vert,4433,26655,0.964,0.917
▁greenhouse,▁serre,44648,182237,0.6304,0.5693
▁group,▁groupe,2778,29653,0.463,0.7573
▁groups,▁groupes,5452,71714,0.5107,0.8047
▁growth,▁croissance,5115,82078,0.25,0.826
▁guarantee,▁garantie,16919,68169,0.12024,0.7095
▁guaranteed,▁garanti,26608,17714,0.2852,0.3904
▁guard,▁garde,10981,55044,0.6104,0.742
▁guests,▁invités,13187,142141,0.4424,0.7437
▁guilty,▁coupable,18440,197400,0.6924,0.851
▁guitar,▁guitare,14673,130141,0.733,0.9395
▁gulf,▁golfe,98095,228397,0.533,0.4722
▁gun,▁fusil,8977,214345,0.7,0.712
▁guy,▁gars,7705,134929,0.2361,0.3518
▁had,▁avait,1093,17134,0.4673,0.83
▁half,▁demi,3933,41289,0.177,0.783
▁hand,▁main,1634,1872,0.755,0.9
▁hands,▁mains,4961,32722,0.6797,0.8477
▁hang,▁pend,12009,19078,0.6963,0.1724
▁happiness,▁bonheur,18821,68117,0.4336,0.7754
▁happy,▁heureux,4915,66982,0.7676,0.9355
▁hard,▁dur,2811,6374,0.4128,0.5054
▁harmony,▁harmonie,26290,196819,0.3855,0.783
▁harvest,▁récolte,21161,214035,0.735,0.8423
▁hat,▁chapeau,3954,130243,0.5767,0.905
▁have,▁ont,791,7057,0.4062,0.4434
▁having,▁ayant,3372,38654,0.2485,0.6055
▁he,▁il,693,1800,0.682,0.544
▁head,▁tête,2206,30922,0.4658,0.884
▁heads,▁têtes,13914,174251,0.3652,0.7354
▁health,▁santé,2962,36244,0.3518,0.8716
▁healthy,▁sain,9606,144495,0.589,0.4045
▁heart,▁coeur,3760,54345,0.632,0.953
▁heat,▁chaleur,6719,75868,0.4622,0.883
▁heating,▁chauffage,18074,129166,0.7627,0.7534
▁heavy,▁lourd,8090,178822,0.9663,0.8467
▁height,▁hauteur,5721,59878,0.4114,0.7905
▁hello,▁bonjour,25612,181501,0.555,0.6875
▁helmet,▁casque,30574,116721,0.5347,0.8994
▁help,▁aide,1707,36252,0.395,0.6934
▁herbs,▁herbes,39044,183788,0.611,0.615
▁heritage,▁patrimoine,25949,91841,0.4712,0.7563
▁hero,▁héros,8888,105040,0.689,0.923
▁hidden,▁caché,5915,167170,0.7275,0.738
▁hide,▁cache,14338,15324,0.1919,0.3877
▁high,▁haut,1536,22120,0.714,0.69
▁him,▁lui,1357,8312,0.5503,0.593
▁his,▁son,926,2032,0.75,0.438
▁historian,▁historien,50234,163844,0.7515,0.8306
▁historical,▁historique,13457,64482,0.617,0.528
▁history,▁histoire,4281,49815,0.6924,0.7964
▁holds,▁tient,12723,71748,0.1995,0.1821
▁holes,▁trous,18072,159206,0.4949,0.8623
▁holidays,▁vacances,23567,47786,0.47,0.3926
▁homeland,▁patrie,82621,161714,0.286,0.35
▁honest,▁honnête,10406,231162,0.7485,0.7344
▁honey,▁miel,17195,47144,0.969,0.841
▁honor,▁honneur,12327,153319,0.89,0.5835
▁hope,▁espoir,4077,207025,0.6245,0.9546
▁horn,▁corne,28896,100570,0.3542,0.7793
▁horse,▁cheval,10468,53776,0.7866,0.947
▁horses,▁chevaux,18292,111626,0.6733,0.7715
▁hot,▁chaud,5342,72929,0.8853,0.7607
▁hotel,▁hôtel,6208,73831,0.4478,0.938
▁hotels,▁hôtels,21794,99429,0.71,0.7817
▁hour,▁heure,6370,32329,0.893,0.9395
▁hours,▁heures,3763,30279,0.8145,0.906
▁house,▁maison,3036,18819,0.6997,0.883
▁houses,▁maisons,12273,84275,0.5996,0.888
▁how,▁comment,1368,4986,0.6655,0.867
▁however,▁cependant,4187,58370,0.2424,0.704
▁huge,▁énorme,8649,151834,0.159,0.36
▁human,▁humain,3515,87238,0.6973,0.85
▁hundred,▁cent,7541,2565,0.534,0.7236
▁hunger,▁faim,38326,167713,0.8125,0.932
▁hunt,▁chasse,12407,79173,0.5513,0.6895
▁husband,▁mari,8616,12113,0.618,0.605
▁hybrid,▁hybride,19504,199273,0.5337,0.837
▁hydraulic,▁hydrauli,36421,190561,0.9443,0.4414
▁ice,▁glace,8357,80224,0.532,0.894
▁idea,▁idée,4268,61964,0.7876,0.9033
▁ideal,▁idéal,8884,82657,0.9253,0.8755
▁ideas,▁idées,5793,38263,0.681,0.8193
▁identify,▁identifier,11441,30824,0.3708,0.525
▁identity,▁identité,12852,202910,0.5522,0.8633
▁if,▁si,1013,1804,0.51,0.444
▁imagination,▁imagina,24974,129899,0.4033,0.626
▁immediately,▁immédiatement,7544,90307,0.3574,0.6045
▁immune,▁immun,24091,20034,0.5806,0.3413
▁implies,▁implique,21721,194763,0.339,0.582
▁improve,▁améliorer,4771,69027,0.3833,0.4812
▁in,▁dans,575,2499,0.288,0.5747
▁inappropriate,▁inappropri,26167,57257,0.2139,0.2712
▁inch,▁pouce,11444,184886,0.4111,0.7827
▁inches,▁pouces,9828,84685,0.715,0.6465
▁include,▁inclu,3707,3803,0.3108,0.2708
▁included,▁inclus,5484,60137,0.1941,0.4019
▁income,▁revenu,8316,123011,0.4648,0.524
▁incorporated,▁incorpor,28914,12064,0.385,0.3774
▁increased,▁augmenté,6629,209760,0.3767,0.54
▁increases,▁augmente,12062,154793,0.747,0.5737
▁incredible,▁incroyable,18781,129244,0.2866,0.4597
▁independence,▁indépend,22413,83568,0.642,0.3542
▁independent,▁indépendant,9560,180403,0.5854,0.64
▁index,▁indice,3921,105029,0.2913,0.5894
▁indicates,▁indique,14939,83434,0.7183,0.653
▁indicator,▁indic,25343,3347,0.31,0.09216
▁industrial,▁industriel,9365,140091,0.7397,0.7036
▁industry,▁industrie,5361,128618,0.818,0.781
▁infected,▁infect,28757,83609,0.3218,0.446
▁inform,▁informer,6275,150321,0.663,0.3235
▁informed,▁informé,15335,163336,0.3574,0.6562
▁infrared,▁infrar,56492,161742,0.8574,0.647
▁ingredients,▁ingrédients,15555,128336,0.3884,0.8125
▁ink,▁encre,17663,204342,0.7656,0.867
▁inn,▁auber,9405,141956,0.8994,0.4207
▁insects,▁insectes,31029,226487,0.537,0.8745
▁inside,▁dedans,5580,174210,0.2727,0.613
▁inspector,▁inspec,56247,15765,0.603,0.3232
▁inspired,▁inspiré,15783,200460,0.5464,0.877
▁install,▁installer,4877,52906,0.257,0.549
▁installed,▁installé,11598,137139,0.6094,0.4844
▁insurance,▁assurance,9490,35516,0.703,0.6045
▁integrated,▁intégré,17295,138454,0.622,0.4507
▁intensive,▁intensif,32713,106424,0.3044,0.4316
▁interactive,▁interac,29295,60052,0.336,0.55
▁interest,▁intérêt,3273,109365,0.614,0.766
▁interested,▁intéress,8202,49292,0.615,0.3286
▁interesting,▁intéressant,7103,119988,0.6987,0.8975
▁intermediate,▁intermédiaire,26840,234354,0.505,0.3743
▁intimate,▁intime,35656,163554,0.3381,0.271
▁introduce,▁introdu,18866,6510,0.4656,0.2734
▁introduced,▁introduit,11261,222556,0.6855,0.649
▁invalid,▁inval,20876,114942,0.8296,0.451
▁investigation,▁enquête,11991,128211,0.4253,0.29
▁investment,▁investissement,9245,214827,0.2229,0.871
▁investments,▁investissements,24153,201347,0.2379,0.794
▁involved,▁impli,6664,127512,0.3186,0.04602
▁iron,▁fer,8456,4760,0.6997,0.765
▁is,▁est,603,1455,0.777,0.852
▁island,▁île,10534,122194,0.5664,0.9136
▁islands,▁îles,25199,130102,0.4426,0.735
▁isolated,▁isolé,9685,83959,0.5664,0.6553
▁jacket,▁veste,12350,73478,0.1366,0.406
▁jobs,▁emplois,11088,194877,0.2778,0.7954
▁journalist,▁journaliste,38049,144724,0.8286,0.636
▁journalists,▁journalistes,43694,132759,0.284,0.7075
▁journey,▁voyage,10734,18448,0.2822,0.449
▁joy,▁joie,10300,83129,0.5786,0.776
▁judge,▁juge,11490,98825,0.686,0.907
▁judges,▁juges,28100,203856,0.1829,0.8486
▁judgment,▁jugement,12182,119851,0.3994,0.4155
▁judicial,▁judiciaire,27453,163612,0.3682,0.4094
▁juice,▁jus,17796,5015,0.557,0.785
▁jump,▁saut,9902,169228,0.2203,0.4692
▁just,▁juste,1317,41127,0.2703,0.4792
▁key,▁clé,2621,71030,0.259,0.8457
▁keyboard,▁clavier,20434,140995,0.587,0.803
▁kill,▁tuer,9451,119046,0.698,0.5293
▁killed,▁tué,9849,157337,0.4692,0.657
▁kills,▁tue,32900,67209,0.631,0.3892
▁kilometers,▁kilomètres,46624,118516,0.359,0.5947
▁king,▁roi,7201,37036,0.7197,0.901
▁kingdom,▁royaume,20113,109680,0.5557,0.7397
▁kings,▁rois,33795,131225,0.4148,0.7485
▁kitchen,▁cuisine,8926,24311,0.885,0.599
▁knew,▁savait,6608,143202,0.278,0.8213
▁knife,▁couteau,19193,156357,0.8706,0.916
▁knight,▁chevalier,36030,156938,0.85,0.8994
▁knit,▁trico,23174,198069,0.4648,0.2725
▁know,▁savoir,1230,23104,0.4285,0.513
▁known,▁connu,3836,63335,0.8076,0.6577
▁knows,▁sait,9242,59789,0.338,0.7515
▁laboratory,▁laboratoire,17355,157167,0.7886,0.7617
▁lack,▁manque,8863,69972,0.667,0.3364
▁ladder,▁échelle,38088,191006,0.2632,0.4534
▁ladies,▁dames,19049,71183,0.5312,0.748
▁lady,▁dame,12100,51729,0.5195,0.685
▁lake,▁lac,13492,27995,0.52,0.959
▁lakes,▁lacs,31646,156643,0.543,0.9214
▁lamp,▁lampe,11861,84457,0.2356,0.6562
▁land,▁terre,2840,18430,0.5513,0.564
▁lands,▁terres,7927,104913,0.4136,0.4658
▁landscape,▁paysage,15487,94464,0.4805,0.774
▁landscapes,▁paysages,47870,141362,0.4258,0.5464
▁language,▁langue,5255,41803,0.8306,0.902
▁languages,▁langues,17044,89359,0.802,0.8516
▁last,▁dernier,2001,30362,0.896,0.847
▁late,▁tard,5245,26926,0.3887,0.8955
▁launch,▁lancement,11388,146645,0.334,0.645
▁launched,▁lancé,16140,115943,0.404,0.52
